,,,,,,한국 상위(%),,,,,,,,,,,,,,,전년 대비(%),,,,,,,,,,,,,,""
회사명,업계,응답(명),BIE(점),한국 상위(%),동의어,직무만족도,조직몰입도,이직의도,스트레스,업무자율성,업무의미감,업무중요도,상사관계,동료관계,직장내유대,워라밸,표현의자유,복지,윤리,심리적안전감,직무만족도,조직몰입도,이직의도,스트레스,업무자율성,업무의미감,업무중요도,상사관계,동료관계,직장내유대,워라밸,표현의자유,복지,윤리,"심리적안전감"
대웅제약,제약-바이오,46,31,83%,"대웅바이오, 대웅제약, 대웅 바이오",96%,87%,81%,79%,77%,83%,91%,52%,37%,41%,93%,89%,72%,86%,92%,-17%,50%,3%,4%,-17%,50%,3%,4%,-17%,9%,4%,-5%,5%,21%,"23%"
모베이스전자,자동차 ,11,31,83%,"모베이스전자, Mobase전자, Mobase Electronics, 모베이스",61%,50%,86%,77%,60%,66%,5%,71%,59%,25%,41%,36%,94%,52%,11%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
삼성카드고객서비스,카드,20,31,82%,삼성카드고객서비스,99%,88%,20%,95%,99%,100%,56%,76%,82%,92%,91%,98%,51%,7%,89%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
삼성화재서비스손해사정,보험 ,12,31,83%,"삼성화재서비스손해사정, 삼성화재서비스, 삼성화재서비스손사, 삼성, Samsung, 삼성화재",98%,86%,85%,87%,100%,99%,99%,77%,92%,30%,72%,99%,71%,55%,70%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
LG생활건강,커머스 ,30,31,83%,"엘지 생활건강, 엘지생활건강, LG생건, 엘지생건, LG 생활건강, LG생활건강, 엘지 생건, 생건",89%,88%,39%,59%,44%,78%,39%,49%,83%,74%,37%,50%,90%,68%,65%,0%,76%,75%,56%,0%,76%,75%,56%,68%,82%,184%,68%,85%,132%,"94%"
오스템임플란트,전자-기계 ,50,31,83%,"오스템임플란트, 오스템 임플란트, OSSTEM IMPLANT",86%,94%,67%,79%,69%,59%,47%,72%,43%,28%,68%,50%,80%,94%,93%,-25%,3%,-27%,17%,-25%,3%,-27%,17%,22%,-23%,14%,3%,13%,9%,"8%"
이글루코퍼레이션,IT서비스 ,10,31,83%,"이글루코퍼레이션, 이글루, Igloo corp, Igloo코퍼레이션, Igloo",94%,90%,96%,77%,51%,73%,19%,44%,18%,4%,30%,24%,94%,67%,50%,-42%,-53%,-35%,-55%,-42%,-53%,-35%,-55%,-43%,-15%,-25%,-4%,-6%,-4%,"32%"
KT M&S,커머스 ,33,31,82%,"케이티엠앤에스, KT M&S",90%,81%,51%,51%,66%,89%,91%,83%,82%,90%,89%,93%,67%,80%,92%,20%,29%,108%,96%,20%,29%,108%,96%,376%,16%,28%,13%,0%,14%,"6%"
코리아써키트,전자-기계 ,14,31,83%,"코리아써키트, Korea Circuit, 코리아Circuit, Korea써키트",84%,83%,94%,57%,61%,81%,84%,48%,56%,55%,93%,34%,92%,54%,55%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
패스트파이브,건설-중공업,11,31,81%,"패스트파이브, Fastfive",61%,69%,88%,94%,15%,17%,5%,81%,59%,69%,24%,18%,68%,77%,32%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
포스코모빌리티솔루션,자동차 ,14,31,83%,"포스코SPS, 포스코에스피에스, Posco sps",81%,78%,92%,70%,69%,91%,56%,28%,40%,48%,64%,62%,90%,82%,65%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
한섬,패션 ,15,31,82%,"한섬, Handsome",85%,78%,86%,90%,63%,87%,98%,87%,91%,64%,44%,89%,87%,75%,86%,-41%,-24%,-31%,-50%,-41%,-24%,-31%,-50%,-53%,-9%,-11%,-18%,-14%,11%,"11%"
해성디에스,반도체 ,25,31,82%,"해성디에스, 해성DS, 해성",93%,81%,67%,86%,74%,77%,56%,65%,53%,67%,91%,51%,85%,61%,45%,-20%,32%,97%,48%,-20%,32%,97%,48%,1%,41%,168%,35%,131%,40%,"30%"
효성,건설-중공업 ,41,31,82%,"효성, HYOSUNG",49%,60%,91%,56%,35%,59%,63%,74%,74%,67%,54%,62%,70%,92%,77%,-5%,96%,82%,-8%,-5%,96%,82%,-8%,34%,15%,47%,23%,30%,33%,"14%"
씨아이에스,전자-기계 ,12,31,81%,#N/A,95%,73%,78%,81%,64%,93%,56%,82%,58%,57%,76%,15%,72%,99%,84%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
네오바이오텍,제약-바이오 ,11,31,81%,#N/A,41%,73%,92%,77%,94%,73%,78%,95%,91%,95%,96%,89%,94%,91%,90%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
웹케시,IT서비스 ,10,31,82%,#N/A,57%,77%,88%,62%,62%,80%,95%,76%,67%,17%,16%,87%,90%,43%,16%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
한화제약,제약-바이오 ,10,31,83%,#N/A,91%,99%,67%,20%,85%,96%,100%,90%,100%,48%,95%,98%,99%,91%,98%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
오케스트로,IT서비스 ,17,31,84%,#N/A,35%,65%,96%,51%,67%,52%,42%,71%,56%,41%,47%,6%,68%,53%,74%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
비에스한양,건설-중공업 ,12,31,84%,#N/A,53%,61%,82%,47%,64%,24%,37%,69%,75%,82%,64%,79%,46%,67%,75%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
칸타코리아,회계-컨설팅,12,31,84%,#N/A,90%,90%,94%,95%,98%,94%,51%,97%,97%,86%,95%,99%,71%,75%,81%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
한샘,커머스 ,19,30,85%,"HANSSEM, 한샘",83%,90%,74%,72%,73%,86%,98%,92%,95%,83%,80%,85%,80%,87%,81%,-28%,-2%,24%,-24%,-28%,-2%,24%,-24%,65%,-14%,-21%,-20%,-25%,-26%,"-34%"
한국에스지에스,회계-컨설팅,14,30,85%,"SGS, 한국에스지에스, SGS Korea",93%,98%,96%,98%,78%,80%,85%,88%,98%,89%,91%,74%,85%,95%,96%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
데이원컴퍼니,교육-출판,14,30,85%,"데이원컴퍼니, Day1 Company, Day1컴퍼니",67%,83%,77%,93%,51%,48%,69%,91%,93%,92%,88%,53%,86%,73%,37%,-43%,5%,-30%,-47%,-43%,5%,-30%,-47%,-24%,-14%,-11%,-18%,-27%,-33%,"-29%"
BGF리테일,커머스 ,43,30,85%,"비지에프, 씨유, BGF리테일, BGF Retail, CU, BGF 리테일, 비지에프리테일",84%,74%,81%,66%,44%,97%,84%,70%,70%,65%,65%,72%,95%,61%,86%,-20%,61%,30%,4%,-20%,61%,30%,4%,86%,12%,21%,13%,0%,0%,"-2%"
세정,패션 ,12,30,84%,세정,81%,86%,86%,94%,63%,96%,25%,76%,96%,90%,76%,87%,98%,91%,81%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
시너스텍,전자-기계 ,10,30,84%,"시너스텍, Synus tech",82%,93%,97%,98%,25%,66%,60%,90%,88%,82%,30%,8%,89%,97%,79%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
인팩,자동차 ,13,30,84%,"인팩, Infac",52%,90%,93%,88%,91%,53%,53%,90%,98%,87%,53%,65%,85%,64%,33%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
코레일관광개발,여행사 ,11,30,84%,"코레일, 코레일관광개발",45%,96%,67%,93%,51%,53%,89%,85%,99%,96%,80%,24%,100%,100%,98%,-26%,91%,-31%,11%,-26%,91%,-31%,11%,-40%,11%,52%,24%,126%,29%,"40%"
한국전기안전공사,공공기관 ,34,30,85%,"한국전기안전공사, KESCO",88%,78%,82%,80%,69%,95%,95%,81%,36%,31%,25%,34%,66%,88%,46%,-29%,12%,-13%,-4%,-29%,12%,-13%,-4%,-23%,139%,-11%,-21%,71%,59%,"39%"
호반건설,건설-중공업,21,30,84%,호반건설,75%,81%,57%,64%,60%,85%,56%,51%,41%,84%,67%,87%,72%,32%,90%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
휴온스,제약-바이오 ,17,30,85%,"휴온스, Huons",78%,58%,88%,87%,51%,51%,51%,48%,27%,40%,76%,36%,79%,69%,91%,-31%,5%,20%,-37%,-31%,5%,20%,-37%,3%,178%,17%,4%,8%,67%,"79%"
아이마켓코리아,커머스 ,14,30,84%,#N/A,96%,89%,85%,57%,42%,66%,80%,76%,82%,72%,14%,71%,52%,30%,75%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
원익아이피에스,반도체 ,26,29,87%,"IPS, 원익IPS, 원익아이피에스",79%,96%,81%,62%,33%,66%,56%,71%,89%,82%,67%,51%,88%,84%,92%,-22%,4%,-19%,-13%,-22%,4%,-19%,-13%,27%,22%,-15%,7%,-3%,5%,"11%"
메가스터디교육,교육-출판 ,20,29,86%,"megastudy, 메가스터디교육",84%,93%,90%,84%,78%,96%,97%,91%,91%,94%,84%,95%,97%,76%,76%,-25%,30%,2%,-25%,-25%,30%,2%,-25%,-33%,-4%,13%,-16%,1%,3%,"-8%"
SFA,전자-기계 ,10,29,87%,"SFA, 에스에프에이",82%,81%,99%,83%,67%,93%,98%,63%,86%,82%,99%,57%,98%,91%,74%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
대한전선,전기-전선,22,29,85%,"대한전선, Taihan, 대한",86%,90%,93%,82%,77%,32%,42%,66%,56%,48%,55%,43%,75%,64%,80%,-22%,32%,4%,-18%,-22%,32%,4%,-18%,215%,38%,54%,49%,93%,62%,"20%"
동명기술공단종합건축사무소,건설-중공업,14,29,87%,"동명기술공단종합건축사무소, 동명기술공단, 동명공단, 동명기술공단건축, 동명기술공단종합건축, DMEC",81%,92%,39%,89%,95%,70%,69%,67%,61%,60%,90%,91%,85%,78%,45%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
비알코리아,식음료 ,15,29,88%,"비알코리아, 비알, SPC비알코리아, SPC비알, 비알korea, BR코리아, 비알 한국",85%,83%,90%,92%,86%,98%,91%,85%,91%,74%,53%,76%,62%,76%,84%,-23%,75%,4%,3%,-23%,75%,4%,3%,57%,14%,71%,27%,22%,-12%,"5%"
비케이알,외식-체인 ,16,29,87%,"비케이알, BKR",80%,68%,63%,85%,96%,84%,96%,49%,76%,82%,93%,77%,85%,52%,82%,-13%,100%,71%,-6%,-13%,100%,71%,-6%,605%,-18%,69%,23%,20%,24%,"-9%"
서울교통공사,공기업 ,87,29,86%,"서울교통공사, 서교공, 서울 교통공사",31%,39%,18%,12%,8%,54%,60%,26%,25%,33%,6%,15%,63%,38%,20%,-41%,34%,65%,49%,-41%,34%,65%,49%,16%,37%,47%,22%,54%,49%,"47%"
수협,금융 ,32,29,87%,수협,87%,76%,87%,66%,52%,80%,76%,63%,78%,82%,58%,84%,85%,88%,83%,-10%,82%,33%,77%,-10%,82%,33%,77%,114%,14%,41%,25%,28%,31%,"100%"
아성다이소,커머스 ,19,29,86%,"아성다이소, 다이소, 아성 다이소",65%,66%,89%,90%,75%,37%,9%,91%,61%,28%,88%,66%,64%,93%,80%,-37%,24%,-17%,-38%,-37%,24%,-17%,-38%,-53%,4%,-1%,24%,-37%,29%,"12%"
에코비트워터,에너지-화학 ,14,29,86%,"에코비트워터, Ecorbit Water, 에코비트water, Ecorbit워터, 에코비트, Ecorbit",77%,93%,97%,67%,73%,82%,97%,51%,64%,71%,69%,27%,99%,91%,96%,-11%,63%,9%,1%,-11%,63%,9%,1%,209%,10%,56%,-34%,40%,13%,"-11%"
외교부,정부·공공기관 ,14,29,86%,외교부,96%,84%,84%,98%,99%,99%,100%,99%,85%,96%,97%,100%,93%,91%,97%,-37%,-19%,-14%,-21%,-37%,-19%,-14%,-21%,-59%,-58%,-39%,-50%,-50%,-23%,"-33%"
웅진씽크빅,교육-출판 ,12,29,85%,"웅진씽크빅, 씽크빅, 웅진, Woongjin",72%,88%,98%,31%,87%,75%,51%,63%,70%,95%,72%,94%,85%,83%,86%,-30%,72%,-10%,-57%,-30%,72%,-10%,-57%,882%,-6%,72%,28%,16%,13%,"-35%"
유니셈,전자-기계 ,12,29,86%,유니셈,77%,83%,78%,61%,25%,95%,86%,36%,56%,35%,65%,17%,71%,98%,70%,7%,121%,91%,141%,7%,121%,91%,141%,127%,51%,94%,4%,133%,77%,"28%"
차이커뮤니케이션,IT서비스 ,12,29,87%,"차이커뮤니케이션, 차이, CHAI communication, Chai커뮤니케이션, 차이communication",93%,84%,78%,86%,74%,83%,69%,68%,89%,57%,90%,76%,96%,91%,79%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
콘센트릭스서비스코리아,IT서비스 ,10,29,86%,"콘센트릭스서비스코리아, 콘센트릭스서비스, 콘센트릭스, 콘센트릭스코리아, 콘센트릭스 한국, 콘센트릭스서비스 한국, Concentrix, 콘센트릭스 Catalyst, Concentrix Catalyst, Concentrix Catalyst코리아 ",64%,98%,26%,99%,99%,74%,53%,98%,50%,87%,96%,83%,85%,91%,45%,-36%,70%,-26%,16%,-36%,70%,-26%,16%,-89%,-40%,14%,31%,-3%,38%,"-18%"
하림,식음료 ,13,29,87%,"하림, Harim, 하림그룹",95%,90%,42%,87%,39%,66%,98%,51%,59%,34%,53%,95%,92%,100%,91%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
한성자동차,자동차 ,15,29,87%,한성자동차,89%,89%,88%,51%,95%,47%,56%,63%,16%,17%,9%,54%,85%,43%,45%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
한화손해사정,보험 ,12,29,85%,"한화손해사정, 한화손사, 한화, Hanwha",97%,50%,91%,99%,99%,73%,37%,51%,91%,82%,95%,56%,65%,75%,75%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
자이에스앤디,건설-중공업 ,11,29,86%,#N/A,68%,81%,92%,60%,85%,80%,80%,82%,89%,98%,72%,84%,57%,22%,85%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
두산퓨얼셀,에너지-화학,13,29,86%,#N/A,93%,98%,96%,91%,88%,94%,75%,99%,82%,99%,80%,83%,63%,64%,85%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
롯데푸드,식음료 ,10,29,87%,#N/A,16%,39%,22%,15%,17%,9%,51%,36%,43%,1%,30%,56%,77%,23%,26%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
HS Ad,광고·마케팅 ,11,28,88%,"HS Ad, HS애드, 에이치에스애드, LG, 엘지",32%,59%,56%,12%,51%,30%,45%,39%,21%,46%,69%,50%,37%,58%,45%,-38%,58%,50%,6%,-38%,58%,50%,6%,100%,79%,15%,0%,59%,48%,"90%"
KB증권,증권 ,15,28,88%,"KB증권, 케이비증권, KB",57%,31%,60%,30%,8%,55%,69%,36%,35%,25%,6%,50%,25%,36%,58%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
LS오토모티브테크놀로지스,자동차 ,16,28,89%,"LS오토모티브테크놀로지스, LS오토모티브, LS Automotive,  LS Automotive Technologies, LS, 엘에스",92%,90%,91%,90%,65%,50%,61%,80%,61%,89%,82%,53%,90%,14%,22%,-19%,-26%,53%,79%,-19%,-26%,53%,79%,-15%,79%,87%,-5%,-14%,29%,"38%"
SK,IT ,47,28,89%,"SK, 에스케이",61%,50%,20%,29%,29%,59%,70%,40%,62%,68%,41%,12%,43%,42%,46%,-49%,8%,5%,27%,-49%,8%,5%,27%,6%,-3%,-3%,5%,11%,-6%,"-6%"
앰코테크놀로지코리아,전자-기계 ,42,28,88%,"앰코, 앰코테크놀로지, Amkor Korea, 앰코코리아, 엠코, Amkor, 앰코 코리아",96%,92%,75%,85%,77%,96%,84%,80%,83%,89%,78%,66%,95%,88%,77%,-22%,16%,35%,13%,-22%,16%,35%,13%,31%,8%,10%,12%,17%,13%,"36%"
에어프레미아,항공 ,13,28,88%,"에어프레미아, Air Premia, 프레미아",91%,84%,94%,51%,62%,77%,57%,98%,96%,96%,82%,96%,93%,93%,94%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
제일약품,제약-바이오 ,22,28,89%,제일약품,89%,98%,58%,83%,24%,94%,75%,90%,82%,71%,43%,83%,88%,97%,86%,-34%,6%,-32%,1%,-34%,6%,-32%,1%,-34%,5%,-24%,2%,-17%,16%,"-2%"
쿠쿠전자,전자-기계 ,14,28,88%,쿠쿠전자,88%,81%,75%,91%,98%,93%,19%,95%,91%,98%,95%,96%,77%,79%,98%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
크래프톤,IT ,35,28,89%,"크래프톤, Krafton",13%,27%,39%,25%,16%,25%,10%,20%,14%,17%,38%,4%,9%,25%,45%,-57%,-13%,5%,-7%,-57%,-13%,5%,-7%,-16%,8%,24%,43%,26%,12%,"39%"
한화에어로스페이스,전자-기계 ,84,28,88%,"한화에어로스페이스, Hanwha Aerospace, 한화aerospace, Hanwha에어로스페이스, 한화, Hanwha",27%,31%,15%,24%,59%,22%,29%,36%,30%,28%,64%,42%,11%,20%,37%,-49%,18%,14%,29%,-49%,18%,14%,29%,11%,4%,34%,16%,-3%,4%,"8%"
현대오토에버,자동차 ,79,28,88%,"현대오토에버, 오토에버, Hyundai Autoever, 현대차, 현대자동차, Hyundai",44%,43%,23%,35%,51%,72%,76%,29%,45%,25%,37%,34%,16%,18%,28%,-47%,17%,36%,13%,-47%,17%,36%,13%,-4%,10%,-5%,23%,11%,-1%,"28%"
우리산업,자동차 ,10,28,88%,#N/A,98%,93%,86%,21%,59%,53%,45%,98%,59%,13%,60%,36%,46%,75%,45%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
피엔티,반도체 ,20,28,89%,#N/A,73%,82%,84%,94%,98%,59%,11%,23%,66%,96%,100%,91%,64%,96%,82%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
CJ ENM,방송-엔터 ,23,27,90%,"CJ ENM, 씨제이이엔엠,  CJ이엔엠, CJ, 씨제이",29%,44%,56%,53%,41%,22%,56%,23%,22%,9%,29%,38%,49%,30%,52%,-45%,16%,9%,25%,-45%,16%,9%,25%,7%,5%,0%,-16%,12%,2%,"21%"
세아상역,패션 ,13,27,90%,"SAE-A, 세아상역",93%,98%,97%,98%,75%,70%,47%,93%,92%,95%,91%,77%,57%,97%,96%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
동진쎄미켐,반도체 ,16,27,90%,동진쎄미켐,90%,84%,73%,60%,91%,68%,62%,63%,72%,40%,80%,59%,62%,98%,48%,-5%,64%,89%,101%,-5%,64%,89%,101%,98%,-18%,38%,32%,43%,-11%,"12%"
명화공업,자동차 ,25,27,90%,"명화공업, 명화, Myunghwa",94%,88%,99%,83%,93%,80%,66%,73%,82%,77%,98%,80%,98%,65%,53%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
아스트,항공,10,27,89%,"아스트, ASTK",97%,95%,70%,84%,85%,96%,95%,95%,98%,98%,86%,83%,74%,52%,96%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
아주스틸,철강 ,11,27,90%,"아주스틸, Aju steel, 아주steel, Aju스틸",92%,91%,65%,69%,51%,71%,90%,63%,82%,89%,39%,53%,69%,54%,55%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
현대트랜시스,자동차,35,27,90%,"현대트랜시스, Hyundai Transis, Hyundai트랜시스, 트랜시스, 현대transis,현대차, 현대자동차, Hyundai",29%,40%,30%,29%,30%,19%,13%,19%,24%,20%,29%,23%,24%,22%,9%,-47%,26%,31%,-5%,-47%,26%,31%,-5%,26%,5%,40%,18%,27%,23%,"25%"
한화이센셜,전자-기계 ,15,27,89%,#N/A,85%,69%,98%,77%,98%,93%,61%,96%,96%,91%,99%,93%,98%,72%,100%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
칼리버스,IT서비스 ,11,27,89%,#N/A,89%,86%,88%,82%,66%,73%,95%,69%,91%,11%,72%,96%,87%,96%,97%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
우리투자증권,은행 ,12,27,89%,#N/A,90%,83%,72%,87%,95%,99%,97%,85%,95%,82%,74%,86%,60%,91%,96%,-38%,64%,1%,-28%,-38%,64%,1%,-28%,-41%,-26%,-47%,-34%,-29%,-33%,"-30%"
바바패션,패션 ,10,27,90%,#N/A,64%,50%,42%,91%,88%,88%,46%,90%,85%,64%,93%,79%,87%,75%,67%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
코리아세븐,커머스 ,29,26,91%,"7 ELEVEN, 코리아세븐, KOREA SEVEN, 세븐일레븐",97%,92%,81%,56%,73%,92%,81%,81%,70%,50%,85%,91%,71%,61%,96%,-39%,-17%,-6%,-41%,-39%,-17%,-6%,-41%,-13%,15%,6%,-5%,13%,54%,"38%"
롯데하이마트,커머스 ,30,26,90%,"Himart, 롯데 하이마트, 하이마트, 롯데하이마트",88%,93%,74%,64%,73%,80%,85%,79%,72%,87%,70%,64%,66%,42%,72%,-17%,55%,37%,13%,-17%,55%,37%,13%,102%,-2%,54%,1%,89%,57%,"-26%"
다원시스,반도체 ,12,26,91%,"다원시스, Dawonsys",98%,96%,96%,77%,79%,86%,95%,98%,91%,64%,78%,39%,97%,59%,90%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
미래에셋생명,보험 ,10,26,91%,"미래에셋생명, Miraeasset, 미래에셋, Miraeasset생명",64%,69%,61%,32%,12%,45%,60%,69%,50%,50%,22%,50%,43%,22%,45%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
성우하이텍,자동차 ,29,26,91%,성우하이텍,98%,97%,81%,77%,91%,97%,95%,67%,48%,77%,91%,65%,85%,86%,91%,-33%,27%,-33%,-1%,-33%,27%,-33%,-1%,56%,-29%,-23%,-20%,-4%,15%,"-5%"
엘비루셈,전자-기계 ,11,26,90%,"엘비루셈, Lblusem, LB루셈",99%,94%,85%,91%,99%,98%,98%,85%,64%,87%,98%,65%,92%,79%,99%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
엘비세미콘,전자-기계 ,13,26,91%,"엘비세미콘, LB Semicon, LB세미콘",91%,88%,100%,91%,57%,94%,37%,87%,82%,86%,65%,71%,91%,46%,96%,-29%,-23%,-21%,-66%,-29%,-23%,-21%,-66%,-44%,-16%,-16%,51%,8%,16%,"3%"
LX판토스,물류 ,20,26,91%,"엘엑스판토스, 판토스, LX판토스",57%,57%,50%,65%,29%,52%,67%,36%,52%,64%,33%,50%,37%,48%,48%,-50%,18%,7%,1%,-50%,18%,7%,1%,8%,10%,21%,19%,54%,20%,"23%"
엠씨넥스,전자-기계 ,13,26,91%,#N/A,95%,92%,70%,70%,35%,77%,72%,54%,29%,42%,45%,28%,95%,42%,29%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
카카오,IT ,21,25,93%,"KAKAO, 카카오",63%,74%,81%,19%,26%,26%,68%,37%,41%,82%,16%,12%,53%,95%,30%,-53%,2%,-21%,-20%,-53%,2%,-21%,-20%,55%,0%,26%,16%,-4%,-4%,"-14%"
KT CS,통신,28,25,92%,"KT CS, 케이티씨에스, KT씨에스, KT, 케이티",99%,79%,79%,93%,90%,99%,54%,90%,93%,69%,86%,99%,99%,91%,97%,-34%,-24%,27%,-14%,-34%,-24%,27%,-14%,-14%,-11%,-14%,12%,7%,-14%,"7%"
LG CNS,IT ,84,25,92%,"LGCNS, LG CNS, 엘지씨앤에스",49%,63%,51%,46%,44%,49%,76%,48%,48%,57%,66%,50%,49%,35%,46%,-47%,4%,-3%,10%,-47%,4%,-3%,10%,4%,-4%,-1%,-7%,0%,-7%,"1%"
경동나비엔,전자-기계,36,25,92%,"경동나비엔, 나비엔",93%,83%,93%,98%,92%,74%,45%,79%,56%,66%,98%,95%,87%,56%,87%,-31%,33%,58%,3%,-31%,33%,58%,3%,-17%,-13%,37%,44%,81%,17%,"16%"
그라비티,게임,10,25,92%,"그라비티, Gravity",77%,81%,92%,95%,10%,47%,69%,84%,74%,87%,28%,98%,88%,85%,70%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
노랑풍선,여행사,12,25,92%,"노랑풍선, Ybtour",93%,96%,94%,87%,40%,66%,78%,51%,86%,64%,53%,39%,98%,94%,81%,-47%,-12%,-35%,-53%,-47%,-12%,-35%,-53%,-57%,-2%,-12%,8%,-2%,-19%,"11%"
동원F&B,식음료,16,25,93%,"동원에프앤비, 동원F&B, 에프앤비",87%,84%,99%,70%,64%,66%,80%,11%,16%,57%,64%,40%,34%,11%,45%,-48%,-32%,-41%,-65%,-48%,-32%,-41%,-65%,-32%,-10%,-24%,-18%,5%,15%,"-6%"
세원정공,자동차 ,10,25,92%,"세원정공, Sewon, 세원, Sewon정공",82%,50%,88%,82%,79%,29%,1%,42%,34%,34%,97%,67%,60%,58%,74%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
천재교육,교육-출판 ,35,25,91%,천재교육,66%,88%,88%,77%,53%,72%,58%,79%,69%,58%,46%,51%,95%,94%,82%,-38%,59%,44%,-17%,-38%,59%,44%,-17%,-50%,-12%,10%,21%,8%,-16%,"-12%"
한화시스템,IT ,52,25,93%,"한화시스템, Hanwha systems, 한화systems, Hanwha시스템, 한화, Hanwha",59%,62%,43%,44%,52%,50%,39%,74%,51%,53%,55%,38%,48%,45%,71%,-52%,1%,7%,11%,-52%,1%,7%,11%,16%,-11%,2%,10%,-11%,-3%,"-10%"
행복나래,커머스,11,25,93%,"행복나래, Happy Narae",97%,98%,88%,88%,57%,45%,26%,77%,74%,71%,43%,83%,99%,55%,33%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
신라에이치엠,호텔-레저 ,12,25,91%,#N/A,90%,90%,56%,67%,87%,66%,60%,63%,56%,55%,95%,64%,97%,36%,58%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
르노코리아,자동차 ,13,25,92%,#N/A,91%,92%,98%,62%,91%,99%,95%,91%,96%,98%,76%,83%,85%,91%,96%,-33%,10%,-5%,-38%,-33%,10%,-5%,-38%,-17%,-38%,-42%,-25%,-7%,-7%,"-17%"
크레텍,커머스,14,25,92%,#N/A,77%,78%,78%,71%,85%,99%,87%,98%,70%,55%,61%,77%,65%,96%,67%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
한전MCS,공공기관 ,24,25,92%,#N/A,88%,88%,84%,77%,74%,95%,89%,86%,94%,90%,92%,86%,91%,93%,89%,-37%,20%,32%,-20%,-37%,20%,32%,-20%,9%,52%,14%,19%,-12%,-19%,"-6%"
다나와,IT서비스 ,13,25,93%,다나와,41%,60%,65%,12%,2%,27%,56%,16%,40%,48%,12%,12%,87%,9%,45%,-51%,-6%,-8%,-22%,-51%,-6%,-8%,-22%,-7%,23%,-22%,-26%,-20%,-17%,"-13%"
AJ네트웍스,물류,15,24,93%,"AJ네트웍스, AJ Networks, 에이제이네트웍스, 에이제이networks",96%,94%,97%,96%,98%,96%,90%,86%,94%,94%,82%,79%,65%,59%,75%,-40%,3%,-24%,-42%,-40%,3%,-24%,-42%,4%,-50%,-31%,-18%,25%,6%,"-1%"
대보건설,건설-중공업,13,24,94%,"대보건설, Daebo건설, 대보, Daebo",95%,97%,85%,96%,98%,84%,62%,91%,94%,75%,97%,90%,93%,91%,98%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"-"
